loan_amnt,title,dti,emp_length,approved
10000,Debt consolidation,4,5 years,Yes
17000,Other,14.2,5 years,Yes
11000,Credit card refinancing,18,1 year,Yes
10000,Debt consolidation,4.83,9+ years,Yes
25000,Debt consolidation,14.75,5 years,Yes
16000,Debt consolidation,27.4,9+ years,Yes
3125,Other,18.69,1 year,Yes
10000,Debt consolidation,21.45,9+ years,Yes
9800,Debt consolidation,10.59,3 years,Yes
13000,Credit card refinancing,24.51,2 years,Yes
20000,Car financing,3.49,< 1 year,Yes
20000,Debt consolidation,16.87,2 years,Yes
18000,Debt consolidation,22.08,9+ years,Yes
18000,Debt consolidation,23.88,< 1 year,Yes
15000,Debt consolidation,9.68,9+ years,Yes
23000,Credit card refinancing,24.17,1 year,Yes
40000,Credit card refinancing,12.47,9+ years,Yes
2500,Vacation,12.21,4 years,Yes
35000,Debt consolidation,16.15,3 years,Yes
30000,Debt consolidation,20.67,9+ years,Yes
9000,Credit card refinancing,14.37,< 1 year,Yes
36000,Credit card refinancing,26.45,4 years,Yes
5000,Home improvement,20.82,9+ years,Yes
10000,Debt consolidation,13.3,2 years,Yes
1500,Credit card refinancing,2.32,< 1 year,Yes
10000,Debt consolidation,6.24,1 year,Yes
15000,Debt consolidation,12.48,9+ years,Yes
25000,Credit card refinancing,16.09,9+ years,Yes
40000,Credit card refinancing,17.49,4 years,Yes
25000,Credit card refinancing,12.48,6 years,Yes
5000,Debt consolidation,20.05,9+ years,Yes
16000,Debt consolidation,29.88,9+ years,Yes
10000,Debt consolidation,7.41,2 years,Yes
34000,Debt consolidation,26.62,< 1 year,Yes
10000,Debt consolidation,26.98,9+ years,Yes
24000,Debt consolidation,14.63,5 years,Yes
20000,Credit card refinancing,20.65,7 years,Yes
12000,Debt consolidation,20.67,9+ years,Yes
8400,Debt consolidation,21.95,8 years,Yes
15000,Credit card refinancing,16.25,9+ years,Yes
20000,Home improvement,24.89,4 years,Yes
12700,Debt consolidation,29.82,9+ years,Yes
5000,Other,30.98,9+ years,Yes
20000,Debt consolidation,31.21,9+ years,Yes
16000,Business,33.6,< 1 year,Yes
4000,Debt consolidation,2.61,3 years,Yes
25000,Debt consolidation,13.58,9+ years,Yes
14000,Credit card refinancing,13,3 years,Yes
10000,Debt consolidation,11.3,< 1 year,Yes
25750,Credit card refinancing,20.46,< 1 year,Yes
18000,Home improvement,10.12,9+ years,Yes
12000,Credit card refinancing,15.12,9+ years,Yes
17000,Debt consolidation,15.29,< 1 year,Yes
40000,Debt consolidation,10.07,1 year,Yes
15000,Debt consolidation,24.07,9+ years,Yes
7200,Debt consolidation,6.44,2 years,Yes
21000,Debt consolidation,24.51,9+ years,Yes
5000,Credit card refinancing,19.74,1 year,Yes
11500,Credit card refinancing,12.15,3 years,Yes
8500,Debt consolidation,1.3,< 1 year,Yes
16000,Credit card refinancing,13.94,< 1 year,Yes
27000,Credit card refinancing,31.85,9+ years,Yes
35000,Debt consolidation,34.98,8 years,Yes
11500,Debt consolidation,30.23,9+ years,Yes
40000,Debt consolidation,16.85,9+ years,Yes
8000,Debt consolidation,18.18,< 1 year,Yes
19000,Credit card refinancing,37.73,8 years,Yes
5000,Debt consolidation,5.22,< 1 year,Yes
12000,Debt consolidation,18.31,9+ years,Yes
15000,Debt consolidation,29.14,1 year,Yes
7000,Credit card refinancing,25.39,2 years,Yes
13200,Debt consolidation,34.09,9+ years,Yes
20000,Debt consolidation,20.8,4 years,Yes
20000,Debt consolidation,18.7,2 years,Yes
20000,Debt consolidation,15.37,5 years,Yes
30000,Debt consolidation,16.31,9+ years,Yes
8000,Debt consolidation,26.27,3 years,Yes
25000,Debt consolidation,5.04,2 years,Yes
5000,Moving and relocation,23.27,1 year,Yes
12000,Debt consolidation,21.97,3 years,Yes
35000,Debt consolidation,7.52,< 1 year,Yes
1500,Debt consolidation,25.25,1 year,Yes
16000,Debt consolidation,10.12,3 years,Yes
6000,Debt consolidation,14.05,6 years,Yes
30000,Debt consolidation,15.06,9+ years,Yes
6400,Credit card refinancing,12.78,9+ years,Yes
7000,Debt consolidation,18.54,1 year,Yes
8000,Debt consolidation,22.64,3 years,Yes
8000,Debt consolidation,10.99,7 years,Yes
10550,Debt consolidation,37.92,1 year,Yes
5000,Credit card refinancing,16.34,3 years,Yes
10000,Home improvement,17.93,1 year,Yes
5000,Debt consolidation,25.61,9+ years,Yes
10000,Debt consolidation,23.4,9+ years,Yes
12000,Other,31.73,6 years,Yes
16000,Credit card refinancing,18.62,2 years,Yes
7500,Credit card refinancing,20.3,3 years,Yes
16000,Debt consolidation,20.72,< 1 year,Yes
7500,Debt consolidation,23.85,< 1 year,Yes
5000,Debt consolidation,8.03,9+ years,Yes
34450,Debt consolidation,20.81,2 years,Yes
10000,Credit card refinancing,27.44,2 years,Yes
3000,Debt consolidation,26.77,9+ years,Yes
3200,Car financing,28.05,3 years,Yes
8000,Credit card refinancing,11.56,6 years,Yes
12000,Debt consolidation,18.15,9+ years,Yes
20000,Debt consolidation,14.81,9+ years,Yes
16000,Debt consolidation,13.03,4 years,Yes
30000,Credit card refinancing,33.65,4 years,Yes
12500,Debt consolidation,23.66,7 years,Yes
7200,Debt consolidation,7.31,< 1 year,Yes
10000,Moving and relocation,6.41,6 years,Yes
16550,Debt consolidation,18.56,9+ years,Yes
2400,Other,10.5,9+ years,Yes
16000,Credit card refinancing,21.07,9+ years,Yes
15000,Debt consolidation,17.76,9+ years,Yes
10000,Vacation,13.76,< 1 year,Yes
40000,Other,2.82,8 years,Yes
7000,Home improvement,16.26,9+ years,Yes
12000,Debt consolidation,20.68,7 years,Yes
4800,Credit card refinancing,2.36,4 years,Yes
21000,Debt consolidation,38.09,9+ years,Yes
7000,Credit card refinancing,24.72,9+ years,Yes
6025,Debt consolidation,10.14,2 years,Yes
12000,Debt consolidation,9.29,2 years,Yes
13200,Debt consolidation,22.73,9+ years,Yes
2000,Credit card refinancing,12.59,1 year,Yes
6000,Credit card refinancing,11.51,5 years,Yes
5500,Credit card refinancing,9.22,2 years,Yes
25000,Credit card refinancing,21.9,8 years,Yes
5000,Credit card refinancing,29.91,2 years,Yes
19500,Credit card refinancing,24.53,9+ years,Yes
40000,Debt consolidation,8.88,9+ years,Yes
15000,Credit card refinancing,9.18,2 years,Yes
12800,Credit card refinancing,24.76,1 year,Yes
20000,Debt consolidation,15.62,9+ years,Yes
30000,Business,13.49,< 1 year,Yes
39000,Debt consolidation,24.13,9+ years,Yes
25000,Debt consolidation,16.55,2 years,Yes
10000,Debt consolidation,14.88,9+ years,Yes
30000,Business,23.66,< 1 year,Yes
13375,Debt consolidation,37.88,9+ years,Yes
15000,Debt consolidation,36.05,7 years,Yes
24000,Debt consolidation,17.82,9+ years,Yes
11000,Debt consolidation,18.52,9+ years,Yes
