loan_amnt,title,dti,emp_length,approved
10000,Credit card refinancing,30.21,9+ years,Yes
25000,Credit card refinancing,17.18,9+ years,Yes
16000,Debt consolidation,13.2,9+ years,Yes
15500,Credit card refinancing,16.66,9+ years,Yes
30000,Debt consolidation,11.52,2 years,Yes
22000,Credit card refinancing,10.78,4 years,Yes
10000,Other,26.79,1 year,Yes
1500,Major purchase,3.6,9+ years,Yes
3000,Medical expenses,17.58,8 years,Yes
23500,Credit card refinancing,22.05,6 years,Yes
10000,Credit card refinancing,35.91,< 1 year,Yes
35000,Debt consolidation,25.35,< 1 year,Yes
20000,Credit card refinancing,20.08,9+ years,Yes
12000,Credit card refinancing,17.37,9+ years,Yes
18500,Credit card refinancing,11.19,1 year,Yes
40000,Debt consolidation,8.24,< 1 year,Yes
8000,Debt consolidation,16.56,2 years,Yes
10000,Debt consolidation,25.99,6 years,Yes
30000,Business,4.36,6 years,Yes
10000,Credit card refinancing,3.37,7 years,Yes
20000,Debt consolidation,30.29,9+ years,Yes
21000,Debt consolidation,11.39,9+ years,Yes
2600,Home improvement,29.89,9+ years,Yes
35000,Debt consolidation,12.99,2 years,Yes
20000,Debt consolidation,10.39,5 years,Yes
15000,Major purchase,3.19,9+ years,Yes
3025,Home improvement,38.31,< 1 year,Yes
20000,Credit card refinancing,30.3,< 1 year,Yes
10000,Debt consolidation,27.72,9+ years,Yes
28000,Debt consolidation,10.25,4 years,Yes
6000,Credit card refinancing,20.15,9+ years,Yes
9000,Debt consolidation,39.41,2 years,Yes
29000,Debt consolidation,16.28,9+ years,Yes
5000,Other,27.56,4 years,Yes
4050,Credit card refinancing,3.35,4 years,Yes
35000,Credit card refinancing,4.31,1 year,Yes
12000,Debt consolidation,19.54,3 years,Yes
2000,Debt consolidation,18.13,8 years,Yes
27500,Debt consolidation,16.87,9+ years,Yes
16000,Debt consolidation,26.03,9+ years,Yes
8000,Credit card refinancing,22.76,4 years,Yes
32100,Other,26.5,9+ years,Yes
22800,Credit card refinancing,26.05,6 years,Yes
35000,Other,38.73,9+ years,Yes
16000,Debt consolidation,12.32,5 years,Yes
18000,Other,22.46,3 years,Yes
35000,Debt consolidation,27.84,1 year,Yes
15000,Debt consolidation,11.31,< 1 year,Yes
8000,Debt consolidation,19.65,3 years,Yes
24000,Debt consolidation,13.2,< 1 year,Yes
5000,Debt consolidation,2.96,9+ years,Yes
15000,Debt consolidation,16.32,6 years,Yes
8000,Debt consolidation,11.62,9+ years,Yes
24000,Debt consolidation,25.43,5 years,Yes
28000,Debt consolidation,18.9,< 1 year,Yes
17600,Debt consolidation,23.79,< 1 year,Yes
20500,Credit card refinancing,17.57,9+ years,Yes
10000,Home improvement,5.82,1 year,Yes
14000,Credit card refinancing,3.41,3 years,Yes
12000,Debt consolidation,23.48,< 1 year,Yes
5000,Debt consolidation,15.67,6 years,Yes
12000,Credit card refinancing,11.3,6 years,Yes
35975,Debt consolidation,22.61,9+ years,Yes
35000,Credit card refinancing,17.56,5 years,Yes
15000,Debt consolidation,7.89,9+ years,Yes
18000,Debt consolidation,8.85,9+ years,Yes
28000,Debt consolidation,28.78,9+ years,Yes
20700,Debt consolidation,28,6 years,Yes
7000,Credit card refinancing,26.34,4 years,Yes
40000,Debt consolidation,29.81,2 years,Yes
28800,Debt consolidation,14.07,9+ years,Yes
10000,Debt consolidation,19.5,9+ years,Yes
15000,Debt consolidation,17.5,9+ years,Yes
10000,Credit card refinancing,8.16,3 years,Yes
15600,Credit card refinancing,37.49,1 year,Yes
3600,Debt consolidation,30.2,9+ years,Yes
4000,Debt consolidation,33.2,7 years,Yes
23000,Debt consolidation,8.95,2 years,Yes
22000,Credit card refinancing,37.3,2 years,Yes
15000,Debt consolidation,6.6,3 years,Yes
19200,Credit card refinancing,39.27,9+ years,Yes
10000,Debt consolidation,24.05,9+ years,Yes
19400,Credit card refinancing,20.91,9+ years,Yes
25000,Debt consolidation,19.43,9+ years,Yes
2500,Major purchase,10.64,7 years,Yes
8000,Home improvement,18.41,9+ years,Yes
39000,Debt consolidation,13.35,2 years,Yes
19000,Credit card refinancing,29.55,< 1 year,Yes
5000,Debt consolidation,5.4,< 1 year,Yes
30000,Debt consolidation,15.06,9+ years,Yes
10500,Credit card refinancing,26.56,1 year,Yes
16000,Credit card refinancing,16.01,4 years,Yes
20000,Major purchase,14.12,8 years,Yes
12000,Debt consolidation,30.3,9+ years,Yes
10100,Debt consolidation,16.6,9+ years,Yes
30800,Home improvement,10.3,8 years,Yes
10000,Credit card refinancing,12.42,< 1 year,Yes
33000,Debt consolidation,20.69,9+ years,Yes
13500,Debt consolidation,22.13,< 1 year,Yes
12000,Credit card refinancing,25.69,< 1 year,Yes
5000,Home improvement,10.51,4 years,Yes
25000,Debt consolidation,14.87,4 years,Yes
10000,Home improvement,30.22,9+ years,Yes
7500,Debt consolidation,16.69,9+ years,Yes
4000,Debt consolidation,13,< 1 year,Yes
36050,Credit card refinancing,37.77,9+ years,Yes
11000,Credit card refinancing,16.87,< 1 year,Yes
5000,Debt consolidation,32.51,< 1 year,Yes
2000,Debt consolidation,18.3,8 years,Yes
18000,Credit card refinancing,8.39,9+ years,Yes
20000,Debt consolidation,13.34,9+ years,Yes
9600,Debt consolidation,8.45,9+ years,Yes
40000,Debt consolidation,15.28,9+ years,Yes
15000,Debt consolidation,8.67,2 years,Yes
6000,Business,1.21,9+ years,Yes
5000,Credit card refinancing,13.01,2 years,Yes
6500,Debt consolidation,17.11,7 years,Yes
10000,Credit card refinancing,2.49,2 years,Yes
3100,Debt consolidation,14.04,3 years,Yes
12000,Debt consolidation,7.58,< 1 year,Yes
20000,Debt consolidation,27.11,9+ years,Yes
3200,Major purchase,7.82,3 years,Yes
20000,Home improvement,22.72,2 years,Yes
15000,Car financing,25.1,9+ years,Yes
24000,Debt consolidation,21.02,5 years,Yes
30000,Debt consolidation,14.65,2 years,Yes
18000,Debt consolidation,26.45,9+ years,Yes
10000,Debt consolidation,24.45,< 1 year,Yes
11250,Credit card refinancing,18.56,7 years,Yes
40000,Debt consolidation,34.4,9+ years,Yes
4800,Debt consolidation,19.36,1 year,Yes
16000,Other,15.94,9+ years,Yes
23100,Debt consolidation,23.65,4 years,Yes
10000,Debt consolidation,10.06,3 years,Yes
18000,Home improvement,16.94,2 years,Yes
22625,Debt consolidation,20.39,4 years,Yes
23125,Debt consolidation,38.73,9+ years,Yes
25000,Debt consolidation,19.87,9+ years,Yes
5500,Credit card refinancing,4.2,< 1 year,Yes
25000,Debt consolidation,18.37,< 1 year,Yes
10000,Credit card refinancing,8.86,9+ years,Yes
20000,Debt consolidation,18.58,2 years,Yes
7300,Debt consolidation,19.4,< 1 year,Yes
5000,Debt consolidation,15.13,4 years,Yes
20000,Credit card refinancing,10.19,1 year,Yes
17000,Credit card refinancing,15.25,4 years,Yes
12000,Debt consolidation,15.6,9+ years,Yes
20000,Debt consolidation,27.25,8 years,Yes
10000,Debt consolidation,17.47,9+ years,Yes
10000,Debt consolidation,29.59,< 1 year,Yes
32000,Home buying,27.44,< 1 year,Yes
40000,Debt consolidation,15.72,9+ years,Yes
25000,Debt consolidation,5.04,1 year,Yes
13000,Debt consolidation,14.17,9+ years,Yes
32625,Debt consolidation,35.97,9+ years,Yes
15000,Debt consolidation,29.69,9+ years,Yes
13000,Debt consolidation,22.76,9+ years,Yes
10000,Credit card refinancing,22.51,7 years,Yes
10000,Credit card refinancing,4.3,7 years,Yes
18000,Credit card refinancing,22.07,6 years,Yes
15000,Home improvement,10.9,9+ years,Yes
10000,Debt consolidation,38.26,9+ years,Yes
15000,Debt consolidation,14.89,7 years,Yes
15500,Debt consolidation,20.36,5 years,Yes
40000,Debt consolidation,18.1,< 1 year,Yes
19200,Credit card refinancing,33.64,2 years,Yes
32000,Credit card refinancing,19.84,9+ years,Yes
3600,Debt consolidation,17.75,4 years,Yes
25000,Credit card refinancing,30.57,< 1 year,Yes
4000,Credit card refinancing,14.51,5 years,Yes
15000,Debt consolidation,33.48,9+ years,Yes
29000,Debt consolidation,7.37,2 years,Yes
13000,Credit card refinancing,13.2,9+ years,Yes
10000,Debt consolidation,7.79,3 years,Yes
5000,Major purchase,25.86,4 years,Yes
9800,Home improvement,20.93,9+ years,Yes
10400,Credit card refinancing,15.51,2 years,Yes
19000,Credit card refinancing,37.95,9+ years,Yes
20000,Debt consolidation,12.68,9+ years,Yes
40000,Business,5.9,4 years,Yes
20000,Credit card refinancing,17.89,9+ years,Yes
15000,Debt consolidation,16.08,< 1 year,Yes
16000,Debt consolidation,25.14,6 years,Yes
8400,Debt consolidation,23.87,3 years,Yes
12600,Credit card refinancing,29.83,1 year,Yes
6000,Other,2.09,9+ years,Yes
40000,Debt consolidation,23.82,9+ years,Yes
39000,Debt consolidation,8.12,< 1 year,Yes
6000,Other,24.23,< 1 year,Yes
40000,Debt consolidation,17.79,9+ years,Yes
9600,Debt consolidation,19.88,4 years,Yes
2750,Debt consolidation,17.1,1 year,Yes
40000,Debt consolidation,20.37,9+ years,Yes
40000,Debt consolidation,19.76,6 years,Yes
20000,Debt consolidation,10.61,8 years,Yes
20000,Debt consolidation,20.7,9+ years,Yes
6000,Other,3.75,3 years,Yes
5850,Credit card refinancing,3.09,< 1 year,Yes
7500,Debt consolidation,22.87,< 1 year,Yes
6000,Credit card refinancing,12.08,< 1 year,Yes
32000,Debt consolidation,24.76,< 1 year,Yes
14500,Car financing,10.45,3 years,Yes
12500,Debt consolidation,20.6,< 1 year,Yes
16500,Debt consolidation,14.47,< 1 year,Yes
7000,Business,6.48,2 years,Yes
40000,Debt consolidation,7.76,9+ years,Yes
31000,Debt consolidation,30.39,1 year,Yes
33000,Credit card refinancing,19.19,9+ years,Yes
10000,Debt consolidation,15.25,3 years,Yes
24000,Debt consolidation,27.69,6 years,Yes
22500,Debt consolidation,21.4,1 year,Yes
5000,Medical expenses,20.45,< 1 year,Yes
35000,Credit card refinancing,21.67,9+ years,Yes
10000,Credit card refinancing,20.51,2 years,Yes
20000,Debt consolidation,27.48,< 1 year,Yes
4000,Debt consolidation,38.88,6 years,Yes
20000,Debt consolidation,28.02,7 years,Yes
35000,Credit card refinancing,11.6,9+ years,Yes
6750,Home improvement,12.48,9+ years,Yes
20000,Debt consolidation,22.63,9+ years,Yes
28000,Credit card refinancing,12.22,< 1 year,Yes
2000,Credit card refinancing,14.5,4 years,Yes
19200,Debt consolidation,33.63,2 years,Yes
10000,Major purchase,15.27,7 years,Yes
32000,Credit card refinancing,33.21,9+ years,Yes
15000,Credit card refinancing,12.74,1 year,Yes
11300,Major purchase,11.78,9+ years,Yes
25000,Credit card refinancing,29.99,7 years,Yes
20000,Debt consolidation,6.5,5 years,Yes
19200,Credit card refinancing,24,2 years,Yes
3000,Other,29.21,9+ years,Yes
16500,Credit card refinancing,18.77,9+ years,Yes
15000,Debt consolidation,9.91,8 years,Yes
19500,Other,10.59,8 years,Yes
20000,Debt consolidation,7.97,< 1 year,Yes
15000,Debt consolidation,30.53,7 years,Yes
15000,Credit card refinancing,23.09,1 year,Yes
10000,Debt consolidation,17.05,3 years,Yes
15000,Debt consolidation,19.86,1 year,Yes
10000,Debt consolidation,18.65,1 year,Yes
11500,Credit card refinancing,14.83,< 1 year,Yes
40000,Debt consolidation,33.95,4 years,Yes
16000,Debt consolidation,27.94,9+ years,Yes
26850,Debt consolidation,20.34,5 years,Yes
18000,Debt consolidation,14.59,< 1 year,Yes
40000,Debt consolidation,5.86,1 year,Yes
3500,Debt consolidation,16.35,< 1 year,Yes
35000,Debt consolidation,24.45,< 1 year,Yes
40000,Debt consolidation,11.9,6 years,Yes
3200,Home improvement,11.53,3 years,Yes
9800,Home improvement,16.47,9+ years,Yes
2000,Credit card refinancing,27.6,5 years,Yes
5000,Debt consolidation,11.98,3 years,Yes
6000,Other,39.77,1 year,Yes
10000,Debt consolidation,20.63,9+ years,Yes
17500,Debt consolidation,21.72,4 years,Yes
35000,Debt consolidation,6.63,8 years,Yes
10500,Debt consolidation,22.38,7 years,Yes
12000,Debt consolidation,5.34,< 1 year,Yes
8000,Other,20.75,9+ years,Yes
25000,Credit card refinancing,20.08,3 years,Yes
20000,Car financing,12.25,< 1 year,Yes
15000,Debt consolidation,13.3,2 years,Yes
18000,Debt consolidation,23.3,8 years,Yes
5000,Other,20.32,1 year,Yes
9000,Credit card refinancing,7.51,1 year,Yes
5000,Credit card refinancing,15.57,< 1 year,Yes
17000,Credit card refinancing,19.25,< 1 year,Yes
14000,Debt consolidation,29.35,9+ years,Yes
7000,Car financing,31.99,9+ years,Yes
15000,Debt consolidation,21.51,6 years,Yes
20000,Major purchase,17.01,3 years,Yes
14000,Debt consolidation,14.48,4 years,Yes
12800,Credit card refinancing,22.53,9+ years,Yes
20000,Debt consolidation,11.69,< 1 year,Yes
20000,Debt consolidation,25.69,9+ years,Yes
4000,Home improvement,28.75,9+ years,Yes
3000,Other,17.8,9+ years,Yes
12000,Debt consolidation,14.29,1 year,Yes
16000,Credit card refinancing,10.58,9+ years,Yes
35000,Debt consolidation,11.7,3 years,Yes
10000,Credit card refinancing,24.65,5 years,Yes
27650,Debt consolidation,24.37,4 years,Yes
40000,Debt consolidation,26.67,9+ years,Yes
19000,Debt consolidation,11.81,6 years,Yes
12000,Debt consolidation,23.88,2 years,Yes
20000,Debt consolidation,13.18,9+ years,Yes
30000,Debt consolidation,18.44,7 years,Yes
12500,Debt consolidation,20.52,6 years,Yes
15000,Debt consolidation,19.28,9+ years,Yes
25000,Credit card refinancing,14.64,9+ years,Yes
7000,Debt consolidation,14.47,9+ years,Yes
5000,Debt consolidation,18.16,7 years,Yes
32000,Debt consolidation,17.1,1 year,Yes
3000,Major purchase,22.93,6 years,Yes
23000,Debt consolidation,13.72,8 years,Yes
30000,Debt consolidation,10.84,2 years,Yes
10000,Debt consolidation,27.51,9+ years,Yes
32000,Credit card refinancing,29.68,7 years,Yes
15000,Credit card refinancing,16.93,2 years,Yes
10000,Debt consolidation,12.89,4 years,Yes
1000,Other,1.66,5 years,Yes
9600,Other,14.11,< 1 year,Yes
12000,Medical expenses,9.97,9+ years,Yes
10000,Credit card refinancing,6.68,4 years,Yes
35000,Home buying,24.64,7 years,Yes
35000,Debt consolidation,11.04,3 years,Yes
35000,Home improvement,21.85,3 years,Yes
32275,Debt consolidation,20.76,4 years,Yes
15000,Home improvement,13.04,9+ years,Yes
8000,Other,15.34,9+ years,Yes
25000,Debt consolidation,20.3,9+ years,Yes
7500,Debt consolidation,11.37,2 years,Yes
24000,Debt consolidation,17.73,9+ years,Yes
7100,Home improvement,16.47,2 years,Yes
2000,Debt consolidation,19.12,9+ years,Yes
15000,Debt consolidation,13.24,1 year,Yes
15000,Debt consolidation,14.59,9+ years,Yes
31600,Debt consolidation,28.72,9+ years,Yes
16000,Credit card refinancing,5.86,4 years,Yes
24000,Credit card refinancing,22.58,1 year,Yes
35000,Credit card refinancing,36.94,9+ years,Yes
12000,Debt consolidation,4.94,9+ years,Yes
2400,Other,25.11,1 year,Yes
19000,Credit card refinancing,31.27,3 years,Yes
10000,Debt consolidation,4.53,< 1 year,Yes
10000,Debt consolidation,18.37,2 years,Yes
40000,Debt consolidation,22.99,2 years,Yes
10000,Debt consolidation,17.21,9+ years,Yes
35000,Debt consolidation,6.37,9+ years,Yes
12000,Debt consolidation,12.45,3 years,Yes
40000,Debt consolidation,21.37,< 1 year,Yes
8000,Debt consolidation,34.57,2 years,Yes
15000,Debt consolidation,16.21,6 years,Yes
10000,Credit card refinancing,15.32,1 year,Yes
13000,Debt consolidation,20.48,9+ years,Yes
36000,Debt consolidation,17.81,2 years,Yes
20000,Debt consolidation,27.73,9+ years,Yes
25000,Debt consolidation,25.57,8 years,Yes
15000,Debt consolidation,29.06,5 years,Yes
12475,Credit card refinancing,24.53,2 years,Yes
20000,Debt consolidation,23.55,4 years,Yes
7150,Debt consolidation,32.31,9+ years,Yes
25000,Debt consolidation,31.03,< 1 year,Yes
20000,Credit card refinancing,12.62,4 years,Yes
5000,Credit card refinancing,4.43,4 years,Yes
35000,Credit card refinancing,21.05,9+ years,Yes
8000,Debt consolidation,14.59,9+ years,Yes
40000,Credit card refinancing,16.27,9+ years,Yes
4800,Credit card refinancing,35.7,< 1 year,Yes
8000,Credit card refinancing,21.97,< 1 year,Yes
30000,Debt consolidation,9.61,3 years,Yes
2900,Vacation,19.7,2 years,Yes
12500,Debt consolidation,17.97,9+ years,Yes
2000,Credit card refinancing,12.39,2 years,Yes
6000,Credit card refinancing,26.06,9+ years,Yes
30000,Home improvement,15.82,3 years,Yes
13000,Debt consolidation,14.91,5 years,Yes
20000,Credit card refinancing,14.41,9+ years,Yes
11000,Credit card refinancing,12.19,5 years,Yes
11000,Credit card refinancing,18.72,1 year,Yes
30000,Debt consolidation,21.81,3 years,Yes
35000,Debt consolidation,6.37,5 years,Yes
6025,Debt consolidation,13.79,< 1 year,Yes
15000,Debt consolidation,21.69,3 years,Yes
28000,Credit card refinancing,14.49,5 years,Yes
20000,Credit card refinancing,19.96,9+ years,Yes
7200,Debt consolidation,26.29,1 year,Yes
20000,Debt consolidation,5.77,9+ years,Yes
10000,Debt consolidation,5.91,8 years,Yes
6000,Credit card refinancing,13.89,3 years,Yes
16000,Credit card refinancing,30.07,2 years,Yes
9000,Credit card refinancing,9.1,9+ years,Yes
27000,Debt consolidation,15.62,1 year,Yes
10000,Credit card refinancing,8.1,7 years,Yes
15000,Debt consolidation,22.01,9+ years,Yes
15000,Car financing,14.58,9+ years,Yes
24000,Home improvement,12.26,2 years,Yes
32000,Debt consolidation,23.35,4 years,Yes
19000,Debt consolidation,23.22,2 years,Yes
30000,Credit card refinancing,22.68,3 years,Yes
26000,Credit card refinancing,18.51,4 years,Yes
25000,Debt consolidation,13.18,3 years,Yes
12550,Debt consolidation,17.1,< 1 year,Yes
19000,Credit card refinancing,26.95,5 years,Yes
15000,Debt consolidation,22.43,2 years,Yes
2000,Debt consolidation,29.59,3 years,Yes
15000,Credit card refinancing,16.19,< 1 year,Yes
28000,Debt consolidation,15.46,5 years,Yes
10000,Debt consolidation,22.07,2 years,Yes
36000,Debt consolidation,20.19,9+ years,Yes
30000,Debt consolidation,23.56,9+ years,Yes
27350,Home improvement,16.44,9+ years,Yes
15000,Debt consolidation,19.47,4 years,Yes
40000,Debt consolidation,7.99,1 year,Yes
10000,Debt consolidation,9.76,9+ years,Yes
28800,Credit card refinancing,12.83,2 years,Yes
4000,Debt consolidation,6.56,9+ years,Yes
11000,Debt consolidation,12.31,5 years,Yes
12000,Debt consolidation,16.91,9+ years,Yes
30000,Debt consolidation,15.82,3 years,Yes
20000,Debt consolidation,32.85,1 year,Yes
1500,Other,14.84,9+ years,Yes
4300,Other,12.11,9+ years,Yes
25000,Credit card refinancing,16.32,9+ years,Yes
8000,Vacation,7.46,< 1 year,Yes
20000,Debt consolidation,29.35,< 1 year,Yes
12000,Credit card refinancing,13.05,9+ years,Yes
25000,Debt consolidation,23.77,9+ years,Yes
15000,Debt consolidation,24.88,2 years,Yes
4500,Credit card refinancing,12.48,9+ years,Yes
8000,Debt consolidation,4.96,2 years,Yes
24000,Debt consolidation,20.16,7 years,Yes
1200,Debt consolidation,16.24,5 years,Yes
21000,Credit card refinancing,27.58,9+ years,Yes
20000,Debt consolidation,39.06,9+ years,Yes
6000,Other,30.24,9+ years,Yes
40000,Debt consolidation,17.76,2 years,Yes
40000,Debt consolidation,9.41,9+ years,Yes
13000,Credit card refinancing,24.92,3 years,Yes
30000,Debt consolidation,15.26,4 years,Yes
25000,Debt consolidation,17.59,9+ years,Yes
32000,Home improvement,28.08,9+ years,Yes
30000,Debt consolidation,12.47,9+ years,Yes
35000,Major purchase,9.31,< 1 year,Yes
5000,Debt consolidation,7.37,2 years,Yes
35000,Debt consolidation,16.87,9+ years,Yes
5000,Credit card refinancing,5.53,9+ years,Yes
18000,Debt consolidation,35.19,9+ years,Yes
30000,Debt consolidation,12.57,1 year,Yes
36000,Debt consolidation,3.1,< 1 year,Yes
15000,Credit card refinancing,16.95,4 years,Yes
24000,Debt consolidation,31.96,< 1 year,Yes
20000,Debt consolidation,23.5,9+ years,Yes
6400,Debt consolidation,9.31,5 years,Yes
20000,Debt consolidation,24.47,8 years,Yes
15000,Debt consolidation,18.8,1 year,Yes
9000,Debt consolidation,9.84,4 years,Yes
16000,Credit card refinancing,3.86,2 years,Yes
30000,Debt consolidation,18.02,2 years,Yes
15000,Debt consolidation,26.31,5 years,Yes
10000,Business,7.79,< 1 year,Yes
7200,Credit card refinancing,31.32,9+ years,Yes
10000,Debt consolidation,10,1 year,Yes
32325,Credit card refinancing,28.19,9+ years,Yes
21175,Debt consolidation,20.44,8 years,Yes
20000,Debt consolidation,8.85,2 years,Yes
16000,Moving and relocation,22.24,9+ years,Yes
10000,Credit card refinancing,10.12,3 years,Yes
14000,Credit card refinancing,39.03,9+ years,Yes
6025,Vacation,9.22,< 1 year,Yes
5000,Other,13.47,9+ years,Yes
10000,Debt consolidation,17.84,3 years,Yes
5000,Debt consolidation,10.56,8 years,Yes
15000,Credit card refinancing,9.4,< 1 year,Yes
21125,Credit card refinancing,22.36,3 years,Yes
30000,Debt consolidation,39.16,2 years,Yes
12000,Credit card refinancing,21.54,9+ years,Yes
35000,Debt consolidation,10.84,3 years,Yes
32000,Debt consolidation,23.87,9+ years,Yes
19000,Credit card refinancing,14.19,9+ years,Yes
40000,Debt consolidation,32.47,< 1 year,Yes
10000,Debt consolidation,25.82,8 years,Yes
28000,Credit card refinancing,27.16,9+ years,Yes
16400,Debt consolidation,27.5,9+ years,Yes
30000,Debt consolidation,14.69,9+ years,Yes
25000,Credit card refinancing,18.85,5 years,Yes
18000,Vacation,6.35,9+ years,Yes
40000,Credit card refinancing,18.73,3 years,Yes
29350,Debt consolidation,12.9,8 years,Yes
5000,Debt consolidation,18.63,9+ years,Yes
40000,Debt consolidation,19.08,3 years,Yes
30000,Debt consolidation,13.81,9+ years,Yes
5000,Credit card refinancing,31.33,5 years,Yes
10000,Debt consolidation,20.88,< 1 year,Yes
18000,Debt consolidation,14.42,9+ years,Yes
8000,Other,14.05,9+ years,Yes
35000,Debt consolidation,16.05,< 1 year,Yes
10000,Debt consolidation,18.36,6 years,Yes
14400,Debt consolidation,14.38,9+ years,Yes
7000,Debt consolidation,18.62,9+ years,Yes
1500,Debt consolidation,15.77,3 years,Yes
35000,Debt consolidation,11.34,4 years,Yes
28000,Credit card refinancing,20.4,< 1 year,Yes
12000,Debt consolidation,22.79,9+ years,Yes
10000,Debt consolidation,10.22,2 years,Yes
10000,Debt consolidation,7.44,6 years,Yes
9000,Credit card refinancing,8.71,9+ years,Yes
8000,Debt consolidation,10.44,5 years,Yes
40000,Debt consolidation,20.01,< 1 year,Yes
4500,Home improvement,20.72,4 years,Yes
20000,Debt consolidation,24,9+ years,Yes
15000,Debt consolidation,32.43,9+ years,Yes
4250,Credit card refinancing,11.59,2 years,Yes
4500,Other,23.71,9+ years,Yes
10450,Debt consolidation,27.38,9+ years,Yes
22000,Credit card refinancing,24.68,8 years,Yes
35000,Other,20.06,9+ years,Yes
24000,Credit card refinancing,7.3,5 years,Yes
7200,Debt consolidation,33.06,< 1 year,Yes
15000,Debt consolidation,17.95,4 years,Yes
22000,Debt consolidation,25.37,9+ years,Yes
30000,Debt consolidation,12.25,1 year,Yes
5600,Home improvement,21,9+ years,Yes
36000,Home improvement,12.12,< 1 year,Yes
6000,Debt consolidation,19.06,< 1 year,Yes
16000,Debt consolidation,23.7,5 years,Yes
30000,Business,12.48,9+ years,Yes
40000,Credit card refinancing,14.24,8 years,Yes
4200,Credit card refinancing,17.95,8 years,Yes
11000,Debt consolidation,25.43,3 years,Yes
5000,Medical expenses,18.23,9+ years,Yes
30000,Debt consolidation,16.09,2 years,Yes
25000,Debt consolidation,12.61,7 years,Yes
30000,Debt consolidation,1.15,3 years,Yes
3000,Medical expenses,9.28,6 years,Yes
10000,Credit card refinancing,31.73,6 years,Yes
10000,Debt consolidation,6.25,7 years,Yes
6000,Medical expenses,33.96,5 years,Yes
10000,Debt consolidation,18.93,2 years,Yes
5000,Debt consolidation,11.58,9+ years,Yes
28000,Credit card refinancing,14.27,< 1 year,Yes
40000,Debt consolidation,27.15,9+ years,Yes
10000,Debt consolidation,17.56,1 year,Yes
20000,Debt consolidation,8.2,9+ years,Yes
10000,Debt consolidation,7.45,2 years,Yes
10475,Debt consolidation,7.4,6 years,Yes
20000,Debt consolidation,16.67,9+ years,Yes
3375,Credit card refinancing,5.76,4 years,Yes
35000,Debt consolidation,37.62,9+ years,Yes
40000,Debt consolidation,14.72,9+ years,Yes
4300,Credit card refinancing,19.56,7 years,Yes
10000,Debt consolidation,24.46,4 years,Yes
6500,Home improvement,13.19,3 years,Yes
1000,Medical expenses,17.11,9+ years,Yes
15500,Debt consolidation,6.74,4 years,Yes
10000,Debt consolidation,13,2 years,Yes
9000,Debt consolidation,15.28,4 years,Yes
10000,Debt consolidation,29.08,8 years,Yes
1800,Debt consolidation,16.79,< 1 year,Yes
10000,Debt consolidation,24.64,1 year,Yes
20000,Debt consolidation,11.84,9+ years,Yes
16000,Credit card refinancing,22.32,3 years,Yes
10000,Credit card refinancing,5.8,9+ years,Yes
20000,Credit card refinancing,28.15,5 years,Yes
10000,Other,14.37,< 1 year,Yes
10000,Credit card refinancing,26.48,< 1 year,Yes
8000,Debt consolidation,26.8,1 year,Yes
25000,Credit card refinancing,30.76,9+ years,Yes
16000,Credit card refinancing,25.87,9+ years,Yes
9000,Debt consolidation,6.22,9+ years,Yes
32000,Debt consolidation,21.55,9+ years,Yes
4000,Debt consolidation,23.04,9+ years,Yes
7700,Debt consolidation,16.97,7 years,Yes
35000,Credit card refinancing,11.65,< 1 year,Yes
40000,Debt consolidation,19.01,7 years,Yes
15000,Debt consolidation,21.53,9+ years,Yes
40000,Debt consolidation,0.27,< 1 year,Yes
23200,Debt consolidation,26.15,9+ years,Yes
10000,Credit card refinancing,10.51,< 1 year,Yes
6400,Home improvement,21.93,9+ years,Yes
26500,Credit card refinancing,18.91,9+ years,Yes
35000,Debt consolidation,14.21,9+ years,Yes
4300,Debt consolidation,27.94,9+ years,Yes
14500,Credit card refinancing,29.98,9+ years,Yes
7000,Debt consolidation,18.59,9+ years,Yes
15350,Credit card refinancing,17.18,3 years,Yes
11150,Debt consolidation,12.26,9+ years,Yes
15000,Debt consolidation,19.14,1 year,Yes
17400,Debt consolidation,7.48,< 1 year,Yes
30000,Debt consolidation,9.88,< 1 year,Yes
5000,Debt consolidation,23.03,9+ years,Yes
6000,Home improvement,6.43,9+ years,Yes
10000,Debt consolidation,23.47,9+ years,Yes
11200,Credit card refinancing,22.8,9+ years,Yes
30000,Debt consolidation,9.6,9+ years,Yes
25000,Credit card refinancing,9.46,< 1 year,Yes
22500,Debt consolidation,16.25,5 years,Yes
10000,Debt consolidation,19.95,1 year,Yes
4800,Credit card refinancing,24.45,9+ years,Yes
10000,Home buying,22.91,9+ years,Yes
12000,Debt consolidation,26.72,9+ years,Yes
40000,Debt consolidation,8.51,9+ years,Yes
20000,Debt consolidation,21.42,3 years,Yes
38775,Debt consolidation,9.17,< 1 year,Yes
32000,Debt consolidation,31.04,9+ years,Yes
12000,Credit card refinancing,28.39,1 year,Yes
3600,Debt consolidation,17.81,1 year,Yes
23800,Home improvement,22.74,9+ years,Yes
15000,Debt consolidation,11.52,1 year,Yes
18500,Other,11.17,9+ years,Yes
8500,Credit card refinancing,5.47,< 1 year,Yes
35000,Debt consolidation,11.17,1 year,Yes
15000,Other,20.14,9+ years,Yes
24000,Other,5.02,3 years,Yes
17000,Debt consolidation,21.41,< 1 year,Yes
6500,Other,39.91,9+ years,Yes
10000,Debt consolidation,9.47,9+ years,Yes
